CODUSU,NRO_HOGAR,NIVEL_ED,CH03,CH04,CH06,CH07,PP04A,CAT_OCUP,INTENSI,PP3E_TOT,CATEGORIA,CALIFICACION,P21
TQRMNOQPVHLOKOCDEHMHF00637896,1,Superior universitaria completa,Jefe/a,Varon,38,unido?,...estatal,Obrero o empleado,Ocupado pleno,36,Ocupaciones de la comunicación de masas,Técnicos,38000
TQRMNOQPVHLOKOCDEHMHF00637896,1,Superior universitaria completa,Conyuge / Pareja,Mujer,35,unido?,...estatal,Obrero o empleado,Sobreocupado,60,Ocupaciones de la educación,Técnicos,40000
TQRMNOQQWHLOKOCDEHMHF00637779,1,Secundaria completa,Jefe/a,Varon,56,soltero/a?,...privada,Cuenta propia,Ocupado pleno,24,"Ocupaciones de la construcción edilicia, de obras de infraestructura y de redes de distribución de energía, agua potable, gas, telefonía y petróleo",Operativos,8000
TQRMNOQXYHJNKPCDEHMHF00658911,1,Secundaria completa,Hijo/a Hijastro/a,Varon,43,separado/a o divorsiado/a?,...estatal,Obrero o empleado,Ocupado pleno,18,"Ocupaciones de la gestión administrativa, planificación y control de gestión",Operativos,40000
TQRMNOQYPHJNKPCDEHMHF00658912,1,Superior universitaria completa,Jefe/a,Varon,58,unido?,...privada,Cuenta propia,Sobreocupado,48,"Ocupaciones de la construcción edilicia, de obras de infraestructura y de redes de distribución de energía, agua potable, gas, telefonía y petróleo",Profesionales,35000
TQRMNOQYPHJNKPCDEHMHF00658912,1,Superior universitaria completa,Conyuge / Pareja,Mujer,49,unido?,...estatal,Obrero o empleado,Ocupado que no trabajo en la semana,0,"Directivos de organismos, empresas e instituciones estatales",Profesionales,48000
TQRMNOPUPHLLKSCDEHMHF00637797,1,Superior universitaria completa,Jefe/a,Mujer,50,soltero/a?,...privada,Cuenta propia,Ocupado pleno,36,Ocupaciones de la salud y sanidad,Profesionales,35000
TQRMNOPTRHKMKNCDEHMHF00658929,1,Primaria completa,Jefe/a,Mujer,64,soltero/a?,...privada,Obrero o empleado,Ocupado pleno,30,"Ocupaciones de la gestión presupuestaria, contable y financiera",Operativos,-9
TQRMNOPTRHKMKNCDEHMHF00658929,1,Superior universitaria incompleta,Hijo/a Hijastro/a,Varon,28,soltero/a?,...privada,Cuenta propia,Ocupado pleno,8,Ocupaciones de la comercialización directa,Operativos,5000
TQRMNOPTRHKMKNCDEHMHF00658929,1,Secundaria completa,Hijo/a Hijastro/a,Mujer,38,soltero/a?,...privada,Obrero o empleado,Ocupado pleno,30,"Ocupaciones de la gestión administrativa, planificación y control de gestión",Operativos,-9
TQRMNORSUHMKKPCDEHMHF00637861,1,Superior universitaria incompleta,Jefe/a,Varon,42,unido?,...privada,Obrero o empleado,Ocupado pleno,40,Ocupaciones de la producción industrial y artesanal,Operativos,45000
TQRMNORSVHMKKPCDEHMHF00631923,1,Secundaria completa,Hijo/a Hijastro/a,Varon,37,soltero/a?,...privada,Cuenta propia,Ocupado pleno,35,Ocupaciones de la producción industrial y artesanal,Operativos,10000
TQRMNORSVHMKKPCDEHMHF00631923,1,Secundaria completa,Hijo/a Hijastro/a,Varon,35,soltero/a?,...privada,Cuenta propia,Ocupado pleno,35,Ocupaciones de la producción industrial y artesanal,Operativos,10000
TQRMNORSWHMKKPCDEHMHF00631924,1,Secundaria completa,Nietro/a,Mujer,23,soltero/a?,...estatal,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de servicios de limpieza no domésticos,No calificados,12900
TQRMNORQPHLLKSCDEHMHF00637809,1,Secundaria completa,Hijo/a Hijastro/a,Mujer,30,soltero/a?,...privada,Obrero o empleado,Ocupado pleno,44,Ocupaciones de la comercialización directa,No calificados,-9
TQRMNOQQTHKMLMCDEHMHF00655031,1,Superior universitaria incompleta,Jefe/a,Varon,28,unido?,...estatal,Obrero o empleado,Ocupado pleno,24,Ocupaciones de las telecomunicaciones,No calificados,20000
TQRMNOQQTHKMLMCDEHMHF00655031,1,Superior universitaria incompleta,Conyuge / Pareja,Mujer,27,unido?,...privada,Obrero o empleado,Ocupado pleno,36,Ocupaciones de la comercialización directa,Operativos,25000
TQRMNORRWHKMLMCDEHMHF00655003,1,Superior universitaria completa,Jefe/a,Varon,56,unido?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,"Ocupaciones de la gestión presupuestaria, contable y financiera",Profesionales,60000
TQRMNORRWHKMLMCDEHMHF00655003,1,Superior universitaria completa,Conyuge / Pareja,Mujer,56,unido?,...estatal,Obrero o empleado,Sobreocupado,50,Ocupaciones de la educación,Técnicos,45000
TQRMNORUUHMMKUCDEHMHF00631908,1,Secundaria completa,Jefe/a,Varon,59,casado?,...privada,Cuenta propia,Sobreocupado,56,Ocupaciones de la reparación de bienes de consumo,Operativos,35000
TQRMNORUUHMMKUCDEHMHF00631908,1,Secundaria incompleta,Hijo/a Hijastro/a,Varon,39,soltero/a?,...privada,Cuenta propia,Sobreocupado,56,Ocupaciones de la reparación de bienes de consumo,Operativos,25000
TQRMNORYRHLOKOCDEHMHF00637780,1,Secundaria incompleta,Hijo/a Hijastro/a,Mujer,51,separado/a o divorsiado/a?,...estatal,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de servicios de limpieza no domésticos,No calificados,34000
TQRMNORYRHLOKOCDEHMHF00637780,1,Superior universitaria incompleta,Nietro/a,Varon,29,soltero/a?,...privada,Cuenta propia,Ocupado pleno,12,Ocupaciones de la producción industrial y artesanal,Operativos,3000
TQRMNORVXHKNKNCDEHNHB00658995,1,Primaria completa,Conyuge / Pareja,Varon,70,casado?,...privada,Obrero o empleado,Ocupado pleno,15,Directivos de pequeñas y microempresas,Técnicos,30000
TQRMNOVSQHKNKNCDEHNHB00658996,1,Primaria completa,Jefe/a,Varon,39,casado?,...privada,Obrero o empleado,Ocupado pleno,15,Ocupaciones de la producción agrícola,Operativos,10000
TQRMNOVSRHKNKNCDEHNHB00658997,1,Primaria completa,Jefe/a,Varon,41,unido?,...privada,Cuenta propia,Ocupado pleno,36,Ocupaciones de la reparación de bienes de consumo,Operativos,27000
TQRMNOVSRHKNKNCDEHNHB00658997,1,Primaria completa,Conyuge / Pareja,Mujer,45,unido?,...privada,Obrero o empleado,Ocupado pleno,9,Ocupaciones de los servicios domésticos,No calificados,7200
TQRMNORTSHLKKOCDEHNHB00637995,1,Superior universitaria completa,Conyuge / Pareja,Mujer,49,casado?,...estatal,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de la educación,Técnicos,25000
TQRMNOPXUHLLKRCDEHNHB00638043,1,Superior universitaria completa,Jefe/a,Varon,55,unido?,...privada,Obrero o empleado,Sobreocupado,48,"Ocupaciones de la gestión administrativa, planificación y control de gestión",Operativos,80000
TQRMNOPXUHLLKRCDEHNHB00638043,1,Superior universitaria completa,Conyuge / Pareja,Mujer,44,unido?,...privada,Cuenta propia,Ocupado pleno,25,"Ocupaciones de la gestión presupuestaria, contable y financiera",Profesionales,30000
TQRMNOPTUHMMKSCDEHNHB00637965,1,Superior universitaria completa,Jefe/a,Mujer,53,casado?,...estatal,Obrero o empleado,Ocupado pleno,4,Ocupaciones de la educación,Técnicos,20000
TQRMNOPTUHMMKSCDEHNHB00637965,1,Secundaria completa,Conyuge / Pareja,Varon,61,casado?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,"Ocupaciones de la gestión administrativa, planificación y control de gestión",Operativos,40000
TQRMNOPTVHMMKSCDEHNHB00632142,1,Secundaria completa,Jefe/a,Mujer,36,soltero/a?,...privada,Cuenta propia,Ocupado que no trabajo en la semana,0,Ocupaciones del cuidado y la atención de personas,Operativos,0
TQRMNOPTVHMMKSCDEHNHB00632142,1,Secundaria completa,Hermano/a,Mujer,26,soltero/a?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de los servicios domésticos,No calificados,15000
TQRMNOQRTHJMLRCDEHNHB00659037,1,Superior universitaria completa,Jefe/a,Mujer,52,casado?,...estatal,Obrero o empleado,Ocupado pleno,25,Ocupaciones de la educación,Técnicos,30000
TQRMNORTYHJMLRCDEHNHB00659038,1,Superior universitaria completa,Jefe/a,Varon,33,unido?,...privada,Obrero o empleado,Sobreocupado,84,"Ocupaciones de la construcción edilicia, de obras de infraestructura y de redes de distribución de energía, agua potable, gas, telefonía y petróleo",Técnicos,110000
TQRMNORTYHJMLRCDEHNHB00659038,1,Superior universitaria completa,Conyuge / Pareja,Mujer,35,unido?,...privada,Obrero o empleado,Ocupado pleno,8,Ocupaciones de la educación,Técnicos,12000
TQRMNORUPHJMLRCDEHNHB00659039,1,Primaria completa,Conyuge / Pareja,Mujer,56,casado?,...privada,Obrero o empleado,Ocupado pleno,12,Ocupaciones de los servicios domésticos,No calificados,6000
TQRMNORUPHJMLRCDEHNHB00659039,1,Primaria completa,Hijo/a Hijastro/a,Varon,30,soltero/a?,...privada,Cuenta propia,Subocupado por insuficiencia horaria,9,Ocupaciones de servicios de limpieza no domésticos,Operativos,3000
TQRMNORTQHJLLMCDEHNHB00659040,1,Superior universitaria incompleta,Jefe/a,Varon,33,unido?,...privada,Obrero o empleado,Sobreocupado,50,"Ocupaciones del almacenaje de insumos, materias primas, mercaderías e instrumentos",Operativos,38000
TQRMNORTQHJLLMCDEHNHB00659040,1,Superior universitaria incompleta,Conyuge / Pareja,Mujer,34,unido?,...privada,Obrero o empleado,Sobreocupado,63,"Ocupaciones de la gestión presupuestaria, contable y financiera",Operativos,35000
TQRMNORTUHJLLMCDEHNHB00659041,1,Superior universitaria completa,Jefe/a,Varon,39,casado?,...privada,Obrero o empleado,Ocupado pleno,40,"Ocupaciones de la gestión presupuestaria, contable y financiera",Profesionales,95000
TQRMNORTUHJLLMCDEHNHB00659041,1,Superior universitaria completa,Conyuge / Pareja,Mujer,39,casado?,...privada,Cuenta propia,Ocupado que no trabajo en la semana,0,Ocupaciones de la salud y sanidad,Técnicos,20000
TQRMNORXRHMMLOCDEHNHB00632235,1,Secundaria completa,Jefe/a,Varon,50,casado?,...privada,Cuenta propia,Ocupado pleno,20,Ocupaciones de la reparación de bienes de consumo,Técnicos,19000
TQRMNORXRHMMLOCDEHNHB00632235,1,Superior universitaria completa,Conyuge / Pareja,Mujer,52,casado?,...privada,Obrero o empleado,Ocupado pleno,20,Ocupaciones de la educación,Técnicos,22000
TQRMNOSTSHMOLLCDEHNHB00632068,1,Secundaria completa,Jefe/a,Mujer,50,soltero/a?,...privada,Obrero o empleado,Ocupado pleno,40,Ns.Nc,falta informacion,40000
TQRMNOPTQHJOKSCDEHNHB00659061,1,Secundaria incompleta,Nietro/a,Varon,30,unido?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de la producción industrial y artesanal,Operativos,30000
TQRMNOPTQHJOKSCDEHNHB00659061,1,Secundaria incompleta,Otros Familiares,Mujer,27,unido?,...privada,Obrero o empleado,Ocupado pleno,8,Ocupaciones del cuidado y la atención de personas,No calificados,4800
TQRMNORRYHJOKSCDEHNHB00659062,1,Secundaria completa,Jefe/a,Varon,37,unido?,...privada,Obrero o empleado,Ocupado pleno,34,"Ocupaciones de la construcción edilicia, de obras de infraestructura y de redes de distribución de energía, agua potable, gas, telefonía y petróleo",Operativos,25000
TQRMNOPRQHLOLNCDEHNHB00637993,1,Primaria incompleta (incluye educacion especial),Conyuge / Pareja,Varon,29,casado?,...privada,Cuenta propia,Sobreocupado,48,"Ocupaciones de la construcción edilicia, de obras de infraestructura y de redes de distribución de energía, agua potable, gas, telefonía y petróleo",Operativos,5000
